seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	747997	748247	peak53	.	*	2.64127605536313	0.000123825185550012	0.00641310453209452
NC_064034.1	847839	848089	peak94	.	*	1.40507755787861	4.92266699412668e-05	0.00302870395478008
NC_064034.1	1263776	1264026	peak187	.	*	5.68108862856769	8.13091299070572e-05	0.00460210842669922
NC_064034.1	1449541	1449791	peak262	.	*	6.93883934057191	0.000286487360148681	0.012282658740382
NC_064034.1	1449902	1450152	peak263	.	*	2.26550307304435	7.92019203324735e-11	3.54806602653042e-08
NC_064034.1	1450224	1450474	peak264	.	*	3.39259284794893	0.00032448735650161	0.0134856520045737
NC_064034.1	1451606	1451856	peak266	.	*	2.73195654587472	4.02594618566311e-05	0.00261037583110545
NC_064034.1	1476242	1476492	peak272	.	*	2.13004824238009	5.16269912348115e-05	0.00315540968753293
NC_064034.1	1651236	1651486	peak339	.	*	6.79114387377806	0.000859027544000011	0.0282794019537106
NC_064034.1	1651731	1651981	peak340	.	*	4.68300898860085	4.46743652578994e-15	6.77102806456847e-12
NC_064034.1	1652419	1652669	peak341	.	*	4.22059040927797	0.000506263224180738	0.0191350995432915
NC_064034.1	1653611	1653861	peak343	.	*	6.92446240739822	1.64096447714795e-20	9.24144308830381e-17
NC_064034.1	1659190	1659440	peak348	.	*	1.21788256123192	0.000841331693084333	0.0282794019537106
NC_064034.1	1662534	1662784	peak354	.	*	3.78119103246847	0.00032127733429726	0.0133883668844256
NC_064034.1	1663929	1664178	peak358	.	*	4.28517952883182	0.000843934067710585	0.0282794019537106
NC_064034.1	1710028	1710278	peak381	.	*	3.70929222923009	0.000861829208310334	0.0283150888692342
NC_064034.1	1710474	1710724	peak382	.	*	3.2914959195893	0.000543574270003829	0.0201398354061005
NC_064034.1	1711401	1711651	peak383	.	*	1.88571299761044	0.000790222540884529	0.0274450210633684
NC_064034.1	1713821	1714071	peak387	.	*	2.07580143150079	5.94432629172092e-05	0.00356406435090832
NC_064034.1	1714072	1714321	peak388	.	*	2.96721159710715	0.000553432231574127	0.0204187229135379
NC_064034.1	1732525	1732775	peak392	.	*	4.76087494142989	8.17905216819065e-07	0.000104856778723386
NC_064034.1	2387894	2388144	peak651	.	*	7.21504332801126	0.000859027544000011	0.0282794019537106
NC_064034.1	2390318	2390568	peak654	.	*	5.49491335694616	4.74092124118664e-05	0.0029548869117796
NC_064034.1	2431776	2432026	peak678	.	*	3.70339306468116	0.000426851613274048	0.0169374376431701
NC_064034.1	2433040	2433290	peak680	.	*	2.11693968275574	5.67012128498508e-06	0.000533905753671761
NC_064034.1	2433794	2434044	peak681	.	*	5.58192466626632	0.00121566718883336	0.037911007397496
NC_064034.1	2435635	2435885	peak683	.	*	2.6678309419559	7.2356109487791e-09	1.82263421611993e-06
NC_064034.1	2436577	2436827	peak684	.	*	8.02693213743903	3.66728017527454e-06	0.000368335080432287
NC_064034.1	2581832	2582082	peak762	.	*	4.45944553884999	0.000169202422323645	0.00809993672476348
NC_064034.1	2585502	2585752	peak768	.	*	6.47240673000173	0.00149197833292824	0.0424516563267392
NC_064034.1	2749470	2749720	peak823	.	*	1.70898997837491	0.000366626097697302	0.0148465680774762
NC_064034.1	2990021	2990271	peak887	.	*	7.12145163648693	0.00149197833292824	0.0424516563267392
NC_064034.1	3060021	3060271	peak918	.	*	1.36581938330611	2.47417860313066e-08	5.38878833660867e-06
NC_064034.1	3430219	3430469	peak1049	.	*	1.03238658561503	2.22863558896319e-07	3.43864079014117e-05
NC_064034.1	3452514	3452764	peak1059	.	*	9.86667725261073	4.28831343286765e-14	4.90011281595677e-11
NC_064034.1	3461624	3461874	peak1066	.	*	2.42647549611749	1.70722833076128e-07	2.73586809980777e-05
NC_064034.1	3463711	3463961	peak1071	.	*	3.02415063376285	1.43998491028169e-07	2.36037776021309e-05
NC_064034.1	3465039	3465289	peak1074	.	*	2.48969486353021	0.000321773649059577	0.0134019659727698
NC_064034.1	3635576	3635826	peak1134	.	*	5.78938452937697	4.68488256691912e-05	0.00294088281135486
NC_064034.1	3801077	3801327	peak1186	.	*	1.2334627132288	2.66716181038609e-05	0.00189753638384175
NC_064034.1	4041672	4041922	peak1247	.	*	4.93508520523597	6.10672809548694e-09	1.56324308428757e-06
NC_064034.1	4042039	4042289	peak1248	.	*	6.43154782227673	7.21367646964703e-12	4.73962589644042e-09
NC_064034.1	4042546	4042796	peak1249	.	*	4.29566126732416	6.56021666675093e-05	0.00387731426441762
NC_064034.1	4047129	4047379	peak1256	.	*	2.52736805897071	0.000127007059814165	0.00651936498957552
NC_064034.1	4047576	4047826	peak1257	.	*	5.51429147383352	5.27776200438352e-08	1.01740798893304e-05
NC_064034.1	4048135	4048385	peak1258	.	*	2.26636018054479	0.000217324130902194	0.00998525861121944
NC_064034.1	4405921	4406171	peak1419	.	*	3.12216461530817	0.000581517434415845	0.0212166407214636
NC_064034.1	4406270	4406520	peak1420	.	*	2.19322831306434	6.36868494282239e-06	0.000582520412565996
NC_064034.1	4407561	4407811	peak1423	.	*	3.73232784269365	0.0012488766439277	0.0383137860365119
NC_064034.1	4870081	4870331	peak1645	.	*	1.54871287247024	9.0527376988902e-08	1.61482816998031e-05
NC_064034.1	4913712	4913962	peak1668	.	*	1.02238876772288	0.000847448727002549	0.0282794019537106
NC_064034.1	4917989	4918239	peak1676	.	*	4.01117095072496	1.77088617201627e-10	7.23439115784719e-08
NC_064034.1	5010686	5010936	peak1701	.	*	1.91912725224704	4.42476943493039e-09	1.19474836071114e-06
NC_064034.1	5125610	5125860	peak1750	.	*	2.83764873512154	2.2427141898947e-05	0.00164641248463507
NC_064034.1	5133322	5133572	peak1759	.	*	1.39626868552343	0.00145408676179524	0.0424516563267392
NC_064034.1	5133847	5134097	peak1760	.	*	3.29249461454701	0.000179877383305708	0.00853838194422352
NC_064034.1	5373013	5373263	peak1844	.	*	3.45832674677054	4.98289130926963e-06	0.000486226587113929
NC_064034.1	5375463	5375713	peak1849	.	*	2.02559189272998	2.20773176552603e-05	0.00162678881608537
NC_064034.1	5377168	5377418	peak1853	.	*	5.1273444220482	1.72074722959847e-10	7.06617680054489e-08
NC_064034.1	5506121	5506371	peak1897	.	*	2.8728018853896	0.00017204078699354	0.00822083867255679
NC_064034.1	5506341	5506590	peak1898	.	*	3.48534509425799	0.000298138080014487	0.0126410549565781
NC_064034.1	5524160	5524410	peak1913	.	*	1.43071949310456	0.00082757023365154	0.0282794019537106
NC_064034.1	5696416	5696666	peak1972	.	*	1.64735860784234	8.12379003161691e-05	0.00460210842669922
