seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	1045009	1045259	peak128	.	*	3.8755678862194	8.45573207189551e-05	0.00898455087131247
NC_064034.1	2225300	2225550	peak610	.	*	3.34417848956403	0.000738290582683348	0.0378617060576261
NC_064034.1	2363467	2363717	peak642	.	*	2.0076342327885	8.07160553155458e-07	0.0003195401084465
NC_064034.1	2395631	2395881	peak657	.	*	4.31461547064711	4.87257832132855e-05	0.00612275246450816
NC_064034.1	2396562	2396812	peak659	.	*	2.88708494275248	9.85618718856885e-06	0.00207357282126594
NC_064034.1	2403086	2403336	peak665	.	*	1.70981897221068	4.83270243628301e-08	3.59445667871983e-05
NC_064034.1	2521764	2522014	peak719	.	*	3.89442661496917	0.000248734522873215	0.0187656945258671
NC_064034.1	2545943	2546193	peak737	.	*	2.89213211189707	0.000520645438079087	0.0286312219473603
NC_064034.1	2696183	2696433	peak790	.	*	2.67129321982648	1.22634469894427e-06	0.000445679139908608
NC_064034.1	2988795	2989045	peak885	.	*	3.74375188823775	0.000902421372950951	0.040369924286677
NC_064034.1	4832433	4832683	peak1624	.	*	4.89553851661864	0.000840740757870263	0.0392588157098294
NC_064034.1	5010237	5010487	peak1700	.	*	2.99998337555925	6.59616840759565e-07	0.000275685991463394
NC_064034.1	5104807	5105057	peak1736	.	*	7.67876294360934	0.000495594172156161	0.027839548803352
NC_064034.1	5112930	5113180	peak1745	.	*	7.88919781042013	0.000495594172156161	0.027839548803352
NC_064034.1	5426858	5427108	peak1865	.	*	6.17786602956778	5.31876598039982e-06	0.00132107836122546
NC_064034.1	5428853	5429103	peak1868	.	*	3.0212431421892	8.00372671427383e-07	0.000318565628583156
NC_064034.1	5545890	5546140	peak1918	.	*	2.30636240280252	0.000625968116036132	0.0333038556764484
NC_064034.1	5551439	5551689	peak1926	.	*	1.87654159402982	0.000710755816558165	0.0373827098546028
NC_064034.1	5681286	5681536	peak1965	.	*	2.30465481008553	0.000202947669995522	0.0161555121431895
NC_064034.1	6263234	6263484	peak2141	.	*	2.63750466396654	0.000433474545679324	0.0267100122983693
NC_064034.1	6327343	6327593	peak2157	.	*	3.14163946281988	7.5981457528017e-07	0.000304066230631413
NC_064034.1	6329857	6330107	peak2160	.	*	3.01111452388455	0.000303029589324051	0.0204896976862141
NC_064034.1	6548143	6548393	peak2237	.	*	1.93481271130592	1.29150541893828e-06	0.000457205336625488
NC_064034.1	6597115	6597365	peak2254	.	*	4.76022049826838	0.000721318767745113	0.0375626493240054
NC_064034.1	7821360	7821610	peak2709	.	*	8.64901417697451	6.31456592970055e-06	0.00143952553457452
