seqnames	start	end	peak	score	strand	Log2FC	Pval	FDR
NC_064034.1	583102	583352	peak15	.	*	3.9095868874292	0.309828838553768	0.597249506966461
NC_064034.1	584223	584473	peak16	.	*	0.390628955010696	0.0273482459964339	0.318566003138811
NC_064034.1	602408	602658	peak20	.	*	-0.536014707792008	0.738371728288722	0.889387416379606
NC_064034.1	604738	604988	peak23	.	*	3.317392489973	0.564097937106135	0.785212056435451
NC_064034.1	623879	624129	peak24	.	*	1.00596134919187	0.0213408961898316	0.298089391406248
NC_064034.1	625468	625718	peak25	.	*	-0.401997629534265	0.861068931134101	0.978456935139802
NC_064034.1	629897	630147	peak26	.	*	1.03784597459571	0.0441426068098918	0.356024696850401
NC_064034.1	630079	630328	peak27	.	*	0.000420916587023366	0.529824214322531	0.785212056435451
NC_064034.1	634612	634862	peak30	.	*	-0.653023987485353	0.436250781886091	0.724568884764626
NC_064034.1	638979	639229	peak31	.	*	-0.15419072662991	0.704213981538493	0.870111435364518
NC_064034.1	652283	652533	peak34	.	*	1.3238132237178	0.431303959656528	0.719415261997182
NC_064034.1	654395	654645	peak35	.	*	0.469638696592033	0.658655046893158	0.840263183313864
NC_064034.1	673280	673530	peak38	.	*	0.196827612561221	0.106964502675288	0.462563918097086
NC_064034.1	673560	673810	peak39	.	*	-0.0747901274595205	0.705172094725151	0.870111435364518
NC_064034.1	693116	693366	peak40	.	*	-0.533615221629711	0.542972376428686	0.785212056435451
NC_064034.1	699577	699827	peak41	.	*	0.0043220422121699	0.478905511039149	0.767155824490957
NC_064034.1	723656	723906	peak43	.	*	0.891799819391697	0.0064878696122525	0.189275908843565
NC_064034.1	724118	724368	peak44	.	*	-2.19292358561053	0.000415308027419219	0.0455967898166789
NC_064034.1	737049	737299	peak47	.	*	0.41428847376061	0.48151120527134	0.767184723036777
NC_064034.1	747460	747710	peak49	.	*	-1.44486701120421	0.291163547687059	0.597249506966461
NC_064034.1	747691	747940	peak50	.	*	5.67185935875067	0.0251106342053664	0.298089391406248
NC_064034.1	747899	748149	peak51	.	*	1.61980379487567	0.130411096711978	0.50552740172443
NC_064034.1	748547	748797	peak52	.	*	-0.243255840541266	0.374697746327501	0.674594668208392
NC_064034.1	766533	766783	peak54	.	*	1.85068591800846	0.000110363552660263	0.0210041721173496
NC_064034.1	766691	766940	peak55	.	*	0.729709433722893	0.171540532338474	0.516587372150664
NC_064034.1	767416	767666	peak56	.	*	0.918986238785097	0.240859684897707	0.597249506966461
NC_064034.1	778490	778740	peak58	.	*	-0.875429272173885	0.805280018159095	0.932542859731875
NC_064034.1	778974	779224	peak59	.	*	1.5807348471151	0.344154372897494	0.636335689150607
NC_064034.1	801160	801409	peak61	.	*	-2.23324522149167	1	1
NC_064034.1	801393	801643	peak62	.	*	0.678358126576954	0.987237424026219	1
NC_064034.1	801853	802103	peak63	.	*	-0.346230444306366	0.462324097375911	0.758951618254
NC_064034.1	815433	815683	peak66	.	*	0.518428867359447	0.282928575912673	0.597249506966461
NC_064034.1	829007	829257	peak68	.	*	-1.6900167477208	0.482406312829282	0.767347123234916
NC_064034.1	838822	839072	peak73	.	*	-2.58548436016655	0.0273793944792686	0.318818154662551
NC_064034.1	844895	845145	peak75	.	*	-3.07485225156328	0.00233619509461397	0.118166803956752
NC_064034.1	845564	845814	peak76	.	*	-0.672133666384179	0.0248888103223095	0.298089391406248
NC_064034.1	846691	846941	peak78	.	*	-0.579216087530918	0.788459867514815	0.920979205397934
NC_064034.1	847311	847561	peak79	.	*	0.383930443049794	0.590667812329085	0.811587733046025
NC_064034.1	851273	851523	peak82	.	*	0.0262640697741591	0.957127935638211	1
NC_064034.1	865349	865599	peak86	.	*	-1.0085388865869	0.0319654822399363	0.336675392872749
NC_064034.1	887227	887477	peak88	.	*	1.72430153113389	0.0120060782661566	0.242752634518832
NC_064034.1	888261	888511	peak89	.	*	0.946501954004852	0.0441426068098918	0.356024696850401
