SEACell	metacell	SEACell_cell_type	metacell_cell_type
SEACell-3	5	cnidocyte	cnidocyte
SEACell-55	5	cnidocyte	cnidocyte
SEACell-8	5	cnidocyte	cnidocyte
SEACell-4	7	cnidocyte	cnidocyte
SEACell-81	5	cnidocyte	cnidocyte
SEACell-40	5	cnidocyte	cnidocyte
SEACell-83	5	cnidocyte	cnidocyte
SEACell-92	5	cnidocyte	cnidocyte
SEACell-64	5	cnidocyte	cnidocyte
SEACell-61	5	cnidocyte	cnidocyte
SEACell-9	5	cnidocyte	cnidocyte
SEACell-62	5	cnidocyte	cnidocyte
SEACell-73	5	cnidocyte	cnidocyte
SEACell-2	5	cnidocyte	cnidocyte
SEACell-27	5	cnidocyte	cnidocyte
SEACell-69	5	cnidocyte	cnidocyte
SEACell-6	5	cnidocyte	cnidocyte
SEACell-35	5	cnidocyte	cnidocyte
SEACell-15	6	cnidocyte_precursors	cnidocyte
SEACell-7	3	cnidocyte_precursors	cnidocyte
SEACell-11	5	cnidocyte_precursors	cnidocyte
SEACell-82	25	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-16	32	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-79	31	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-33	27	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-80	25	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-58	32	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-50	32	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-75	32	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-0	32	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-85	29	ectoderm_embryonic_oral	ectoderm.embryonic.oral
SEACell-87	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-93	68	ectoderm_embryonic	ectoderm.embryonic
SEACell-67	49	ectoderm_embryonic	ectoderm.embryonic
SEACell-39	67	ectoderm_embryonic	ectoderm.embryonic
SEACell-5	58	ectoderm_embryonic	ectoderm.embryonic
SEACell-60	58	ectoderm_embryonic	ectoderm.embryonic
SEACell-38	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-13	38	ectoderm_embryonic	ectoderm.embryonic
SEACell-51	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-24	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-42	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-56	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-43	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-84	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-54	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-63	68	ectoderm_embryonic	ectoderm.embryonic
SEACell-77	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-22	81	ectoderm_embryonic	ectoderm.embryonic
SEACell-49	67	ectoderm_embryonic	ectoderm.embryonic
SEACell-32	34	ectoderm_embryonic	ectoderm.embryonic
SEACell-10	85	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-89	90	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-45	85	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-14	88	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-71	88	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-86	90	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-12	90	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-34	85	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-26	84	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-29	90	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-31	92	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-46	84	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-76	92	ectoderm_embryonic_aboral	ectoderm.embryonic.aboral
SEACell-88	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-17	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-18	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-20	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-74	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-21	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-23	14	mesendoderm_embryonic	mesendoderm.embryonic
SEACell-28	17	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-25	14	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-91	14	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-90	9	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-52	19	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-53	19	mesendoderm_ectoderm	mesendoderm.embryonic
SEACell-65	118	NPC	NPC
SEACell-57	117	NPC	NPC
SEACell-36	117	NPC	NPC
SEACell-48	119	NPC	NPC
SEACell-59	117	NPC	NPC
SEACell-19	120	neuronal	neuronal
SEACell-72	121	neuronal	neuronal
SEACell-47	120	neuronal	neuronal
SEACell-78	120	neuronal	neuronal
SEACell-30	121	neuronal	neuronal
SEACell-66	121	neuronal	neuronal
SEACell-70	123	gland_mucous	gland.mucous
SEACell-44	122	gland_mucous	gland.mucous
SEACell-1	122	gland_mucous	gland.mucous
SEACell-41	122	gland_mucous	gland.mucous
SEACell-94	122	gland_mucous	gland.mucous
SEACell-37	123	gland_mucous	gland.mucous
SEACell-68	122	gland_mucous	gland.mucous
